Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-06-06,One Direction: This Is Us,2013,https://boxd.it/9UGWkj,5,Yes,"so baby if you say you want me to drive to KFC

i love chicken",background noise,2025-06-05
2025-06-06,Dead Poets Society,1989,https://boxd.it/9UQasf,5,,they are very much giving dalton academy from glee. like obviously the uniforms/blazers but they’re also just as gay as dalton. i wonder if they have welton academy warblers.,i cry,2025-06-05
2025-06-08,I Am Love,2009,https://boxd.it/9VSIsV,3.5,,"SO FREAKYYYY, i was locked tf in after sanremo",,2025-06-07
2025-06-08,A Bigger Splash,2015,https://boxd.it/9W6yfv,3.5,,we all know (and love [and hate]) a harry,,2025-06-07
2025-06-09,Call Me by Your Name,2017,https://boxd.it/9WR06X,4,,i love fucking pea- i mean i fucking love peaches,,2025-06-08
2025-06-10,Suspiria,2018,https://boxd.it/9Xt8HD,4,,i have nothing to write as a review bc most of my thoughts in this were URGH or AHHH or OH GROSS or NONONO STOP or something along those lines,,2025-06-09
2025-06-12,While You Were Sleeping,1995,https://boxd.it/9YmI3z,4.5,,sandy cohen if he lived in chicago instead of the oc and was (lowkey) an asshole,,2025-06-11
2025-06-12,Bones and All,2022,https://boxd.it/9YBWQl,4.5,,the greatest act of love is to eat <3,,2025-06-11
2025-06-13,Challengers,2024,https://boxd.it/9YZa3X,4.5,Yes,what gets me is when lily said her grandma couldn’t have any pancakes bc she’s old,background noise,2025-06-12
2025-06-13,Queer,2024,https://boxd.it/9ZbxqJ,3,,i am confused tbh but what i do know is that i love drew starkey,,2025-06-12
2025-06-14,Bedtime Stories,2008,https://boxd.it/9ZFzZB,3,Yes,this is one of those weird movies that is marketed like it’s for kids but it’s actually full of really odd inappropriate jokes (average adam sandler humour). like i loved this as a kid but i definitely had no idea what was going on so i’m seeing it so differently now,,2025-06-13
2025-06-15,Materialists,2025,https://boxd.it/a0hbVB,4.5,,this felt so simply (and beautifully) shot but i think it showed how true chemistry can been seen and sensed without any bs or movie magic. real chemistry just happens - it’s simple when it’s natural. im in love w you celine,in theatres,2025-06-14
2025-06-16,Sleepless in Seattle,1993,https://boxd.it/a11JyX,3.5,,guys what if they get to know each other and then dont like each other ,,2025-06-15
2025-06-18,Bridesmaids,2011,https://boxd.it/a2iouX,4.5,,i support that crash out,train time,2025-06-17
2025-06-26,Can't Buy Me Love,1987,https://boxd.it/a7xhYB,2.5,,theres something so ... unconvicing and stupid about this that i cant put my finger on,,2025-06-25
2025-06-30,Tangled,2010,https://boxd.it/aarfeh,5,Yes,rapunzel leaves the house ONCE and meets ONE man and finds a husband... UMMMM teach me your ways girly ,,2025-06-29
2025-07-02,Fantastic Four,2005,https://boxd.it/abLGox,3.5,,"all ive heard before is ""this movie is so bad blah blah blah"" but i thought this was pretty okay?? jessica alba is hot af and chris evans is funny what else can a girl ask for",,2025-07-01
2025-07-03,Fantastic Four: Rise of the Silver Surfer,2007,https://boxd.it/acoUtz,2,,ok yeah this is ass ... at least everyone is hot (even jessica alba in that horrendous wig) ,,2025-07-02
2025-07-04,Fantastic Four,2015,https://boxd.it/acKQGX,0.5,Yes,"oh my god there is so many things wrong with this movie 
- stop making superhero movies so dark and serious (esp FF) 
- why is sues hair different in every scene
- the storyline is just stupid 
- johnny is not funny (chris evans johnny >>) 
- wheres my dysfunctional family
... just to name a few points",,2025-07-03
2025-07-04,A Nice Indian Boy,2024,https://boxd.it/acXAFZ,4.5,,a date singing in the middle of the street on the first date would also freak me tf out … but then immediately find it too charming bc i love a good jam sesh,in theatres,2025-07-03
2025-07-05,About Time,2013,https://boxd.it/adq3of,4.5,,"i was hardcore judging the time travel aspect of this for about 20 mins bc (as a girl who has watched too many sci fi things) it ""didnt make sense"" and ""what are the logistics i dont get it"" and ""how does this affect the rest of the people or events???"" but realized that that is not what this film is about at all. this is about family, the little things, redheads, and love, and life",i cry,2025-07-04
2025-07-06,Date Night,2010,https://boxd.it/aefDAj,4,,HE TURNED THE GUN SIDEWAYS!!!!!!!,,2025-07-05
2025-07-08,Chicago,2002,https://boxd.it/afTsHx,4.5,,CHICAGOOOOO CHICA- oh thats not... but they live in... fine ,background noise,2025-07-06
2025-07-08,Confessions of a Teenage Drama Queen,2004,https://boxd.it/afXawT,2.5,,accurate depiction of the delusions of a fangirl ,,2025-07-07
2025-07-10,The Princess Bride,1987,https://boxd.it/agYjeF,4,,WHY DID THEY TUMBLE DOWN THE HILL LIKE THAT 😭😭,,2025-07-08
2025-07-10,Wimbledon,2004,https://boxd.it/ahlj0T,4.5,,challengers but grass court. and less throuples. (i thought julian baker from oth was gonna be mj's bf and that with vision wouldve been awesome) ,,2025-07-09
2025-07-11,When a Man Loves a Woman,1994,https://boxd.it/ai2B17,4.5,,when the crazy opening scene turns into one of the most devastating heartwrenching movies ive ever seen,i cry,2025-07-10
2025-07-14,KPop Demon Hunters,2025,https://boxd.it/ak8Jhd,4,,"ah the three types of girls: people pleaser, deadpan and blunt, and secretive over achiever ",,2025-07-13
2025-07-15,Freaky Friday,2003,https://boxd.it/alcylv,4.5,,i think cmm here is weirder (behaviour and look wise) than all SIX (6) of his seasons in one tree hill and he was annoying and horrible as fuck in oth ,,2025-07-14
2025-07-16,Zootopia,2016,https://boxd.it/alY9w5,3.5,Yes,flash⚡️ flash💥 hundred yard dash🏃‍♀️ (this is unfortunately worse than i remember :( ),,2025-07-15
