Date,Name,Year,Rating,Rewatch,Tags,Watched Date,Letterboxd URI,Like
2025-05-07,Star Wars: Episode II – Attack of the Clones,2002,2.5,No,,2025-05-06,https://boxd.it/27V2,False
2025-05-08,Solo: A Star Wars Story,2018,1.5,No,background noise,2025-05-07,https://boxd.it/bGWs,False
2025-05-09,Rogue One: A Star Wars Story,2016,4.0,Yes,,2025-05-08,https://boxd.it/aPvy,True
2025-05-10,Star Wars,1977,3.5,Yes,,2025-05-09,https://boxd.it/72s,True
2025-05-11,The Empire Strikes Back,1980,4.5,Yes,,2025-05-10,https://boxd.it/27Vw,True
2025-05-13,Return of the Jedi,1983,4.5,Yes,,2025-05-12,https://boxd.it/27Vm,True
2025-05-15,Star Wars: The Force Awakens,2015,3.0,Yes,,2025-05-14,https://boxd.it/4vru,True
2025-05-15,Star Wars: The Last Jedi,2017,3.0,Yes,,2025-05-14,https://boxd.it/5xme,False
2025-05-17,Star Wars: The Clone Wars,2008,2.5,No,,2025-05-16,https://boxd.it/1Sly,True
2025-05-17,Star Wars: The Rise of Skywalker,2019,1.0,Yes,,2025-05-16,https://boxd.it/5xlK,False
2025-05-18,A Simple Favor,2018,3.5,No,,2025-05-17,https://boxd.it/hq92,True
2025-05-18,Another Simple Favor,2025,,No,,,https://boxd.it/AO6k,False
2025-05-19,Another Simple Favor,2025,1.5,No,,2025-05-18,https://boxd.it/AO6k,False
2025-05-20,When Harry Met Sally...,1989,5.0,No,,2025-05-19,https://boxd.it/29W2,True
2025-05-21,Sinners,2025,4.0,No,in theatres,2025-05-20,https://boxd.it/KQMM,True
2025-05-22,Jumper,2008,3.5,No,,2025-05-21,https://boxd.it/20ss,True
2025-05-23,Trainspotting,1996,4.0,No,,2025-05-22,https://boxd.it/29XY,True
2025-05-25,Worth the Wait,2025,2.5,No,,2025-05-24,https://boxd.it/HaXM,False
2025-05-25,Eternal Sunshine of the Spotless Mind,2004,4.5,No,i cry,2025-05-24,https://boxd.it/6YK,True
2025-05-25,T2 Trainspotting,2017,3.0,No,,2025-05-24,https://boxd.it/5vTA,True
2025-05-28,Grease 2,1982,3.5,No,,2025-05-27,https://boxd.it/1Zk8,True
2025-05-28,Grease,1978,3.5,Yes,,2025-05-27,https://boxd.it/29YW,True
2025-05-30,Notting Hill,1999,3.0,No,,2025-05-29,https://boxd.it/2aeK,True
2025-05-31,Step Up,2006,4.0,No,,2025-05-30,https://boxd.it/1XS8,True
2025-06-01,Step Up 2: The Streets,2008,2.5,No,,2025-05-31,https://boxd.it/20mk,False
2025-06-02,Step Up 3D,2010,2.5,No,,2025-06-01,https://boxd.it/ZS8,False
2025-06-02,Step Up Revolution,2012,3.0,No,,2025-06-01,https://boxd.it/31yo,False
2025-06-03,Step Up All In,2014,2.0,No,,2025-06-02,https://boxd.it/79Wc,False
2025-06-04,But I'm a Cheerleader,1999,3.5,No,,2025-06-03,https://boxd.it/1CW4,True
2025-06-06,Dead Poets Society,1989,5.0,No,i cry,2025-06-05,https://boxd.it/2aSg,True
2025-06-06,One Direction: This Is Us,2013,5.0,Yes,background noise,2025-06-05,https://boxd.it/57km,True
2025-06-08,I Am Love,2009,3.5,No,,2025-06-07,https://boxd.it/10ac,False
2025-06-08,A Bigger Splash,2015,3.5,No,,2025-06-07,https://boxd.it/azgs,True
2025-06-09,Call Me by Your Name,2017,4.0,No,,2025-06-08,https://boxd.it/dYmm,True
2025-06-10,Suspiria,2018,4.0,No,,2025-06-09,https://boxd.it/cioI,True
2025-06-12,Bones and All,2022,4.5,No,,2025-06-11,https://boxd.it/tLd4,True
